;$;minus;plus;not;const_real;const_int;mulop;addop;relop;logicop;comma;rbrkt;lbrkt;id;dp;rparen;const_string;lparen;writeln;write;read;step;else;do;to;assignop;for;while;then;if;semicolon;end;begin;procedure;declr;function;char;boolean;string;real;integer;of;through;array;const_boolean;const_char;type;const;var;uses;dot;program;
PROGRAM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;PROGRAM -> program id semicolon LIBRARIES DECLRS SUB_PGM_DECLRS COMPOUND_STMT dot;
LIBRARIES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;LIBRARIES -> epsilon;LIBRARIES -> epsilon;;LIBRARIES -> epsilon;;;;;;;;;;;LIBRARIES-> epsilon;LIBRARIES -> epsilon;LIBRARIES-> epsilon;LIBRARIES-> uses ID_LIST semicolon;;;
ID_LIST;;;;;;;;;;;;;;ID_LIST -> id ID_LISTR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ID_LISTR;;;;;;;;;;;ID_LISTR -> comma id ID_LISTR;;;;ID_LISTR -> epsilon;ID_LISTR -> epsilon;;;;;;;;;;;;;;;ID_LISTR -> epsilon;;;;;;;;;;;;;;;;;;;;;;
DECLRS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;DECLRS -> epsilon;DECLRS -> epsilon;;DECLRS -> epsilon;;;;;;;;;;;DECLRS -> type TYPER DECLRSR;DECLRS -> const CONST_DECLRDECLRSR;DECLRS -> var VAR_DECLR DECLRSR;;;;
VAR_DECLR;;;;;;;;;;;;;;VAR_DECLR -> ID_LIST dp TYPE semicolon VAR_DECLR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONST_DECLR;;;;;;;;;;;;;;CONST_DECLR -> id assignop CONST_VALUES semicolon CONST_DECLR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
CONST_VALUES;;;;;CONST_VALUES -> const_real;CONST_VALUES -> const_int;;;;;;;;;;;CONST_VALUES -> const_string;;;;;;;;;;;;;;;;;;;;;;;;;;;;CONST_VALUES-> const_boolean;CONST_VALUES-> const_char;;;;;;;
TYPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;TYPE -> STD_TYPE;TYPE -> STD_TYPE;TYPE -> STD_TYPE;TYPE -> STD_TYPE;TYPE -> STD_TYPE;;;TYPE -> arraylbrktCTRL_VALUEthroughCTRL_VALUErbrkt ofSTD_TYPE;;;;;;;;;
STD_TYPE;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;STD_TYPE-> char;STD_TYPE-> boolean;STD_TYPE-> string;STD_TYPE-> real;STD_TYPE-> integer;;;;;;;;;;;;
TYPER;;;;;;;;;;;;;;TYPER -> id assignopTYPE semicolon TYPER;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
SUB_PGM_DECLRS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SUB_PGM_DECLRS-> epsilon;SUB_PGM_DECLRS -> SUB_PGM_DECLRsemicolonSUB_PGM_DECLRS;;SUB_PGM_DECLRS -> SUB_PGM_DECLRsemicolonSUB_PGM_DECLRS;;;;;;;;;;;;;;;;;
SUB_PGM_DECLR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SUB_PGM_DECLR -> SUB_PGM_HEADDECLRSCOMPOUND_STMT;;SUB_PGM_DECLR -> SUB_PGM_HEADDECLRSCOMPOUND_STMT;;;;;;;;;;;;;;;;;
SUB_PGM_HEAD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;SUB_PGM_HEAD -> procedureSUB_PGM_HEAD_PARAMsemicolon;;SUB_PGM_HEAD -> functionSUB_PGM_HEAD_PARAMdeclr STD_TYPE semicolon;;;;;;;;;;;;;;;;;
SUB_PGM_HEAD_PARAM;;;;;;;;;;;;;;SUB_PGM_HEAD_PARAM-> id lparen PARAM_LIST rparen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARAM_LIST;;;;;;;;;;;;;;PARAM_LIST -> ID_LIST dp TYPE PARAM_LISTR;;PARAM_LIST -> epsilon;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PARAM_LISTR;;;;;;;;;;;;;;;;PARAM_LISTR -> epsilon;;;;;;;;;;;;;;;PARAM_LISTR -> semicolonID_LIST dp TYPEPARAM_LIST;;;;;;;;;;;;;;;;;;;;;;
COMPOUND_STMT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;COMPOUND_STMT-> begin OPT_STMTend;;;;;;;;;;;;;;;;;;;;
